Rank,Title,Ratting
1,The Shawshank Redemption ,9.3
2,The Godfather ,9.2
3,The Godfather: Part II ,9.0
4,The Dark Knight ,9.0
5,12 Angry Men ,8.9
6,Schindler's List ,8.9
7,Pulp Fiction ,8.9
8,The Lord of the Rings: The Return of the King ,8.9
9,"The Good, the Bad and the Ugly ",8.9
10,Fight Club ,8.8
11,The Lord of the Rings: The Fellowship of the Ring ,8.8
12,Forrest Gump ,8.8
13,Star Wars: Episode V - The Empire Strikes Back ,8.8
14,Inception ,8.8
15,The Lord of the Rings: The Two Towers ,8.7
16,One Flew Over the Cuckoo's Nest ,8.7
17,Goodfellas ,8.7
18,The Matrix ,8.7
19,Seven Samurai ,8.7
20,Star Wars: Episode IV - A New Hope ,8.6
21,City of God ,8.6
22,Se7en ,8.6
23,The Silence of the Lambs ,8.6
24,It's a Wonderful Life ,8.6
25,Life Is Beautiful ,8.6
26,The Usual Suspects ,8.6
27,Léon: The Professional ,8.6
28,Saving Private Ryan ,8.6
29,Spirited Away ,8.6
30,Interstellar ,8.6
31,American History X ,8.5
32,The Green Mile ,8.5
33,Once Upon a Time in the West ,8.5
34,Psycho ,8.5
35,City Lights ,8.6
36,Casablanca ,8.5
37,The Intouchables ,8.6
38,Modern Times ,8.5
39,The Pianist ,8.5
40,The Departed ,8.5
41,Raiders of the Lost Ark ,8.5
42,Terminator 2 ,8.5
43,Rear Window ,8.5
44,Back to the Future ,8.5
45,Whiplash ,8.5
46,Coco ,8.6
47,Gladiator ,8.5
48,The Lion King ,8.5
49,The Prestige ,8.5
50,Memento ,8.5
51,Apocalypse Now ,8.5
52,Alien ,8.5
53,The Great Dictator ,8.5
54,Cinema Paradiso ,8.5
55,Sunset Boulevard ,8.5
56,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,8.5
57,Grave of the Fireflies ,8.5
58,The Lives of Others ,8.5
59,Paths of Glory ,8.4
60,Django Unchained ,8.4
61,The Shining ,8.4
62,WALL·E ,8.4
63,American Beauty ,8.4
64,Princess Mononoke ,8.4
65,The Dark Knight Rises ,8.4
66,Witness for the Prosecution ,8.4
67,Oldboy ,8.4
68,Aliens ,8.4
69,Once Upon a Time in America ,8.4
70,Das Boot ,8.4
71,Citizen Kane ,8.4
72,Vertigo ,8.4
73,North by Northwest ,8.4
74,Dangal ,8.6
75,Braveheart ,8.4
76,Star Wars: Episode VI - Return of the Jedi ,8.3
77,Reservoir Dogs ,8.3
78,M ,8.4
79,Your Name ,8.5
80,Requiem for a Dream ,8.3
81,Like Stars on Earth ,8.5
82,Amélie ,8.3
83,A Clockwork Orange ,8.3
84,Amadeus ,8.3
85,Lawrence of Arabia ,8.3
86,Double Indemnity ,8.3
87,Eternal Sunshine of the Spotless Mind ,8.3
88,Taxi Driver ,8.3
89,To Kill a Mockingbird ,8.3
90,Singin' in the Rain ,8.3
91,2001: A Space Odyssey ,8.3
92,Full Metal Jacket ,8.3
93,3 Idiots ,8.4
94,Toy Story ,8.3
95,The Sting ,8.3
96,Bicycle Thieves ,8.3
97,Inglourious Basterds ,8.3
98,Toy Story 3 ,8.3
99,The Kid ,8.3
100,Snatch ,8.3
101,The Hunt ,8.3
102,Monty Python and the Holy Grail ,8.3
103,Good Will Hunting ,8.3
104,For a Few Dollars More ,8.3
105,Scarface ,8.3
106,L.A. Confidential ,8.3
107,The Apartment ,8.3
108,Metropolis ,8.3
109,A Separation ,8.4
110,Rashomon ,8.3
111,"Three Billboards Outside Ebbing, Missouri ",8.3
112,Indiana Jones and the Last Crusade ,8.3
113,Yojimbo ,8.3
114,All About Eve ,8.3
115,Up ,8.3
116,Batman Begins ,8.3
117,My Father and My Son ,8.5
118,Some Like It Hot ,8.3
119,The Treasure of the Sierra Madre ,8.3
120,Unforgiven ,8.2
121,Downfall ,8.2
122,Die Hard ,8.2
123,Heat ,8.2
124,Raging Bull ,8.2
125,Ikiru ,8.3
126,The Great Escape ,8.2
127,The Third Man ,8.2
128,Children of Heaven ,8.4
129,Chinatown ,8.2
130,Pan's Labyrinth ,8.2
131,Incendies ,8.2
132,My Neighbor Totoro ,8.2
133,Ran ,8.2
134,Judgment at Nuremberg ,8.3
135,The Secret in Their Eyes ,8.2
136,The Gold Rush ,8.2
137,Blade Runner 2049 ,8.2
138,Howl's Moving Castle ,8.2
139,The Bridge on the River Kwai ,8.2
140,On the Waterfront ,8.2
141,Inside Out ,8.2
142,The Seventh Seal ,8.2
143,"Lock, Stock and Two Smoking Barrels ",8.2
144,Room ,8.2
145,A Beautiful Mind ,8.2
146,Mr. Smith Goes to Washington ,8.2
147,Casino ,8.2
148,The Elephant Man ,8.2
149,Blade Runner ,8.2
150,The Wolf of Wall Street ,8.2
151,V for Vendetta ,8.2
152,Wild Strawberries ,8.2
153,The General ,8.2
154,Warrior ,8.2
155,Dial M for Murder ,8.2
156,Trainspotting ,8.2
157,Gone with the Wind ,8.2
158,Gran Torino ,8.2
159,The Deer Hunter ,8.2
160,The Sixth Sense ,8.1
161,Fargo ,8.1
162,No Country for Old Men ,8.1
163,The Thing ,8.2
164,Sunrise ,8.2
165,Finding Nemo ,8.1
166,The Big Lebowski ,8.2
167,There Will Be Blood ,8.1
168,Andrei Rublev ,8.3
169,Come and See ,8.2
170,Tokyo Story ,8.2
171,The Bandit ,8.4
172,Cool Hand Luke ,8.2
173,Rebecca ,8.2
174,Kill Bill: Vol. 1 ,8.1
175,Hacksaw Ridge ,8.2
176,How to Train Your Dragon ,8.1
177,Shutter Island ,8.1
178,Call Me by Your Name ,8.3
179,Mary and Max ,8.1
180,Gone Girl ,8.1
181,Rang De Basanti ,8.3
182,Into the Wild ,8.1
183,The Passion of Joan of Arc ,8.2
184,Life of Brian ,8.1
185,It Happened One Night ,8.1
186,Wild Tales ,8.1
187,Platoon ,8.1
188,In the Name of the Father ,8.1
189,Hotel Rwanda ,8.1
190,The Wages of Fear ,8.2
191,Network ,8.1
192,Stand by Me ,8.1
193,Rush ,8.1
194,The Grand Budapest Hotel ,8.1
195,Persona ,8.1
196,Ben-Hur ,8.1
197,Stalker ,8.1
198,Jurassic Park ,8.1
199,Logan ,8.1
200,Memories of Murder ,8.1
201,La La Land ,8.1
202,12 Years a Slave ,8.1
203,The 400 Blows ,8.1
204,Million Dollar Baby ,8.1
205,Spotlight ,8.1
206,Mad Max: Fury Road ,8.1
207,The Truman Show ,8.1
208,A Wednesday ,8.3
209,Amores Perros ,8.1
210,Butch Cassidy and the Sundance Kid ,8.1
211,Before Sunrise ,8.1
212,Hachi: A Dog's Tale ,8.1
213,Nausicaä of the Valley of the Wind ,8.1
214,The Princess Bride ,8.1
215,Prisoners ,8.1
216,The Maltese Falcon ,8.1
217,The Nights of Cabiria ,8.2
218,Harry Potter and the Deathly Hallows: Part 2 ,8.1
219,Catch Me If You Can ,8.1
220,Rocky ,8.1
221,Paper Moon ,8.2
222,The Grapes of Wrath ,8.1
223,Diabolique ,8.1
224,"Monsters, Inc. ",8.1
225,Barry Lyndon ,8.1
226,Donnie Darko ,8.1
227,Gandhi ,8.1
228,Touch of Evil ,8.1
229,Dunkirk ,8.1
230,The Terminator ,8.0
231,Groundhog Day ,8.0
232,The Wizard of Oz ,8.1
233,La Haine ,8.1
234,Annie Hall ,8.1
235,The Bourne Ultimatum ,8.0
236,8½ ,8.1
237,Jaws ,8.0
238,The Best Years of Our Lives ,8.1
239,Dead Poets Society ,8.1
240,In the Mood for Love ,8.1
241,The Legend of 1900 ,8.1
242,The Help ,8.1
243,Infernal Affairs ,8.1
244,Twelve Monkeys ,8.0
245,"Paris, Texas ",8.1
246,Beauty and the Beast ,8.0
247,The Handmaiden ,8.1
248,The Battle of Algiers ,8.1
249,Castle in the Sky ,8.1
250,Pirates of the Caribbean: The Curse of the Black Pearl ,8.0
